==============================================================================
铁血线会战 平衡模拟  (N=40000 / 画像×难度)   阈值: 强攻20/迂回16/防守14/硬拼12
难度修正: normal +0 → 20/16/14/12   hard +4 → 24/20/18/16
==============================================================================

#### 难度 normal (阈值 20/16/14/12) ####

-- 最优玩家 --
  score p10/中位/p90 = 43 / 50 / 56    中位落档: 强攻完胜档
  阈值档带分布: 强攻完胜档(>=20) 100.0%  迂回档(16-19) 0.0%  防守档(14-15) 0.0%  硬拼惨胜档(12-13) 0.0%  更差(<12) 0.0%
  实际结局分布: 完胜 100.0%  惨胜 0.0%  战败 0.0%

-- 均匀随机玩家 --
  score p10/中位/p90 = 24 / 33 / 41    中位落档: 强攻完胜档
  阈值档带分布: 强攻完胜档(>=20) 97.3%  迂回档(16-19) 2.3%  防守档(14-15) 0.3%  硬拼惨胜档(12-13) 0.1%  更差(<12) 0.0%
  实际结局分布: 完胜 91.1%  惨胜 8.8%  战败 0.0%

-- 角色扮演中间玩家 --
  score p10/中位/p90 = 24 / 32 / 40    中位落档: 强攻完胜档
  阈值档带分布: 强攻完胜档(>=20) 98.3%  迂回档(16-19) 1.5%  防守档(14-15) 0.1%  硬拼惨胜档(12-13) 0.0%  更差(<12) 0.0%
  实际结局分布: 完胜 96.5%  惨胜 3.5%  战败 0.0%

#### 难度 hard (阈值 24/20/18/16) ####

-- 最优玩家 --
  score p10/中位/p90 = 38 / 45 / 51    中位落档: 强攻完胜档
  阈值档带分布: 强攻完胜档(>=20) 100.0%  迂回档(16-19) 0.0%  防守档(14-15) 0.0%  硬拼惨胜档(12-13) 0.0%  更差(<12) 0.0%
  实际结局分布: 完胜 100.0%  惨胜 0.0%  战败 0.0%

-- 均匀随机玩家 --
  score p10/中位/p90 = 22 / 31 / 40    中位落档: 强攻完胜档
  阈值档带分布: 强攻完胜档(>=20) 84.6%  迂回档(16-19) 10.2%  防守档(14-15) 2.7%  硬拼惨胜档(12-13) 1.4%  更差(<12) 1.0%
  实际结局分布: 完胜 77.0%  惨胜 22.4%  战败 0.7%

-- 角色扮演中间玩家 --
  score p10/中位/p90 = 23 / 30 / 38    中位落档: 强攻完胜档
  阈值档带分布: 强攻完胜档(>=20) 86.7%  迂回档(16-19) 10.7%  防守档(14-15) 1.9%  硬拼惨胜档(12-13) 0.6%  更差(<12) 0.1%
  实际结局分布: 完胜 80.6%  惨胜 19.3%  战败 0.0%

==============================================================================
判定检查
==============================================================================
[中间玩家/normal] 中位落档=强攻完胜档(高于中间两档也算通过) 强攻档98% 中间两档2% 惨胜3.5% 战败0.0% → 通过
[随机玩家/normal] 中位落档=强攻完胜档 (要求不低于防守档) 战败0.0% → 通过
[中间玩家/hard] 中位落档=强攻完胜档(高于中间两档也算通过) 强攻档87% 中间两档13% 惨胜19.3% 战败0.0% → 通过
[随机玩家/hard] 中位落档=强攻完胜档 (要求不低于防守档) 战败0.7% → 通过

==============================================================================
敏感性: 固定中间画像 × 盟友组合 (roleplay 策略, N=20000/格)
==============================================================================

[normal] 画像                       盟友组合                     完胜     惨胜     战败  中位score
[normal] 中庸铁腕 65/45/50            盟约+王子+雷恩+抚恤          100.0%   0.0%   0.0%  42
[normal] 中庸铁腕 65/45/50            男爵友好+雷恩              100.0%   0.0%   0.0%  27
[normal] 中庸铁腕 65/45/50            仅联姻卫队                100.0%   0.0%   0.0%  25
[normal] 中庸铁腕 65/45/50            无任何盟友/旗标              62.1%  37.9%   0.0%  18
[normal] 低配铁腕 60/40/45            盟约+王子+雷恩+抚恤          100.0%   0.0%   0.0%  39
[normal] 低配铁腕 60/40/45            男爵友好+雷恩               87.9%  12.1%   0.0%  22
[normal] 低配铁腕 60/40/45            仅联姻卫队                 75.3%  24.7%   0.0%  20
[normal] 低配铁腕 60/40/45            无任何盟友/旗标              12.5%  87.5%   0.0%  15
[normal] 联姻分散 62/42/55            盟约+王子+雷恩+抚恤          100.0%   0.0%   0.0%  42
[normal] 联姻分散 62/42/55            男爵友好+雷恩              100.0%   0.0%   0.0%  28
[normal] 联姻分散 62/42/55            仅联姻卫队                100.0%   0.0%   0.0%  26
[normal] 联姻分散 62/42/55            无任何盟友/旗标              50.8%  49.2%   0.0%  21
[normal] resist低power 58/48/55    盟约+王子+雷恩+抚恤          100.0%   0.0%   0.0%  42
[normal] resist低power 58/48/55    男爵友好+雷恩              100.0%   0.0%   0.0%  28
[normal] resist低power 58/48/55    仅联姻卫队                100.0%   0.0%   0.0%  24
[normal] resist低power 58/48/55    无任何盟友/旗标              93.8%   6.2%   0.0%  21

[hard] 画像                       盟友组合                     完胜     惨胜     战败  中位score
[hard] 中庸铁腕 65/45/50            盟约+王子+雷恩+抚恤          100.0%   0.0%   0.0%  42
[hard] 中庸铁腕 65/45/50            男爵友好+雷恩               90.9%   9.1%   0.0%  27
[hard] 中庸铁腕 65/45/50            仅联姻卫队                 62.9%  37.1%   0.0%  25
[hard] 中庸铁腕 65/45/50            无任何盟友/旗标               9.7%  90.3%   0.0%  18
[hard] 低配铁腕 60/40/45            盟约+王子+雷恩+抚恤          100.0%   0.0%   0.0%  38
[hard] 低配铁腕 60/40/45            男爵友好+雷恩               50.3%  49.7%   0.0%  24
[hard] 低配铁腕 60/40/45            仅联姻卫队                 12.0%  88.0%   0.0%  20
[hard] 低配铁腕 60/40/45            无任何盟友/旗标               0.0% 100.0%   0.0%  15
[hard] 联姻分散 62/42/55            盟约+王子+雷恩+抚恤          100.0%   0.0%   0.0%  42
[hard] 联姻分散 62/42/55            男爵友好+雷恩               87.8%  12.2%   0.0%  26
[hard] 联姻分散 62/42/55            仅联姻卫队                 75.5%  24.5%   0.0%  26
[hard] 联姻分散 62/42/55            无任何盟友/旗标              12.6%  87.4%   0.0%  19
[hard] resist低power 58/48/55    盟约+王子+雷恩+抚恤          100.0%   0.0%   0.0%  42
[hard] resist低power 58/48/55    男爵友好+雷恩              100.0%   0.0%   0.0%  26
[hard] resist低power 58/48/55    仅联姻卫队                100.0%   0.0%   0.0%  26
[hard] resist低power 58/48/55    无任何盟友/旗标              56.2%  43.8%   0.0%  21

总判定: fair — 阈值无需调整
